question,chunk_id,filename
What algorithm does ClickHouse use when searching for values in a non-first key column of a primary index and why is it less efficient?,docs/guides/best-practices/sparse-primary-indexes.md::44000,docs/guides/best-practices/sparse-primary-indexes.md
Why doesn't a primary index based on a compound key provide significant speedup for queries filtering on non-first key columns?,docs/guides/best-practices/sparse-primary-indexes.md::44000,docs/guides/best-practices/sparse-primary-indexes.md
How do I import data into clickhouse from a csv file using the command line?,docs/getting-started/example-datasets/tpcds.md::3000,docs/getting-started/example-datasets/tpcds.md
Where can I find the full list of TPC-DS queries that work with ClickHouse?,docs/getting-started/example-datasets/tpcds.md::3000,docs/getting-started/example-datasets/tpcds.md
What settings do I need to apply to get standard SQL compatible results for the TPC-DS queries?,docs/getting-started/example-datasets/tpcds.md::3000,docs/getting-started/example-datasets/tpcds.md
What year did the property price data in England and Wales become available?,docs/getting-started/example-datasets/uk-price-paid.md::0,docs/getting-started/example-datasets/uk-price-paid.md
How can I license and use the HM Land Registry dataset in my ClickHouse project?,docs/getting-started/example-datasets/uk-price-paid.md::0,docs/getting-started/example-datasets/uk-price-paid.md
What SQL commands do I need to create the uk_price_paid table in ClickHouse?,docs/getting-started/example-datasets/uk-price-paid.md::0,docs/getting-started/example-datasets/uk-price-paid.md
What are some alternative dictionary layouts when the full dataset doesn't fit in memory?,docs/dictionary/best-practices.md::3000,docs/dictionary/best-practices.md
How can I track memory usage and the health of my dictionaries in ClickHouse?,docs/dictionary/best-practices.md::3000,docs/dictionary/best-practices.md
What metrics can I use to evaluate the effectiveness of a cache layout for my dictionary?,docs/dictionary/best-practices.md::3000,docs/dictionary/best-practices.md
How do I configure logging in ClickHouse to get a debug log with specific rollover settings?,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md::9000,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md
How can I set up a cluster in ClickHouse and define its layout using shards and replicas?,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md::9000,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md
What setting do I use to control whether data is written to one or all replicas in a ClickHouse cluster?,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md::9000,docs/deployment-guides/replication-sharding-examples/03_2_shards_2_replicas.md
What data types are used for numeric and non-numeric fields in the NYPD complaint data,docs/getting-started/example-datasets/nypd_complaint_data.md::5000,docs/getting-started/example-datasets/nypd_complaint_data.md
How can I determine the appropriate data types for fields in my ClickHouse table,docs/getting-started/example-datasets/nypd_complaint_data.md::5000,docs/getting-started/example-datasets/nypd_complaint_data.md
How can I use the clickhouse-local command to infer the schema of my data,docs/getting-started/example-datasets/nypd_complaint_data.md::5000,docs/getting-started/example-datasets/nypd_complaint_data.md
How does ClickHouse handle high availability and replication?,docs/deployment-guides/replication-sharding-examples/_snippets/_cloud_tip.mdx::0,docs/deployment-guides/replication-sharding-examples/_snippets/_cloud_tip.mdx
Can compute and storage in ClickHouse be scaled manually?,docs/deployment-guides/replication-sharding-examples/_snippets/_cloud_tip.mdx::0,docs/deployment-guides/replication-sharding-examples/_snippets/_cloud_tip.mdx
What are the benefits of using ClickHouse Cloud for database management?,docs/deployment-guides/replication-sharding-examples/_snippets/_cloud_tip.mdx::0,docs/deployment-guides/replication-sharding-examples/_snippets/_cloud_tip.mdx
What information is needed to define a replica in a ClickHouse cluster?,docs/guides/sre/keeper/index.md::56000,docs/guides/sre/keeper/index.md
How do I verify that a cluster has been successfully created in ClickHouse?,docs/guides/sre/keeper/index.md::56000,docs/guides/sre/keeper/index.md
What SQL command can be used to display a list of existing clusters in ClickHouse?,docs/guides/sre/keeper/index.md::56000,docs/guides/sre/keeper/index.md
What does the table engine in ClickHouse determine about my data?,docs/guides/starter_guides/creating-tables.md::1000,docs/guides/starter_guides/creating-tables.md
How do primary keys work differently in ClickHouse than in other databases?,docs/guides/starter_guides/creating-tables.md::1000,docs/guides/starter_guides/creating-tables.md
What happens if I don't define a primary key when creating a table in ClickHouse?,docs/guides/starter_guides/creating-tables.md::1000,docs/guides/starter_guides/creating-tables.md
What data does the sample web traffic data set contain?,docs/guides/best-practices/sparse-primary-indexes.md::1000,docs/guides/best-practices/sparse-primary-indexes.md
What are some examples of web analytics queries that can be formulated with the given data set?,docs/guides/best-practices/sparse-primary-indexes.md::1000,docs/guides/best-practices/sparse-primary-indexes.md
What type of machine is used to run ClickHouse for the test in this guide?,docs/guides/best-practices/sparse-primary-indexes.md::1000,docs/guides/best-practices/sparse-primary-indexes.md
How do I incrementally build a materialized view in ClickHouse without using too much memory?,docs/data-modeling/backfilling.md::23000,docs/data-modeling/backfilling.md
What's an effective way to backfill data into a materialized view in ClickHouse and how can I limit the schema to only the columns I need?,docs/data-modeling/backfilling.md::23000,docs/data-modeling/backfilling.md
How can I populate a materialized view with existing data from another table in ClickHouse to perform aggregations?,docs/data-modeling/backfilling.md::23000,docs/data-modeling/backfilling.md
What ClickHouse version is recommended for separating storage and compute?,docs/guides/separation-storage-compute.md::1000,docs/guides/separation-storage-compute.md
How can I use S3 as a disk in ClickHouse and what configuration is required?,docs/guides/separation-storage-compute.md::1000,docs/guides/separation-storage-compute.md
What are the potential issues with configuring AWS life cycle policy for ClickHouse storage?,docs/guides/separation-storage-compute.md::1000,docs/guides/separation-storage-compute.md
How do I configure internal replication for shards in ClickHouse?,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md::5000,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md
What is the purpose of the zookeeper section in the ClickHouse configuration file?,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md::5000,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md
Where can I find an example of a config.xml file for a ClickHouse cluster?,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md::5000,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md
How do I set up user authentication with SSL certificates in ClickHouse?,docs/guides/sre/user-management/ssl-user-auth.md::0,docs/guides/sre/user-management/ssl-user-auth.md
What interfaces support SSL user authentication in ClickHouse?,docs/guides/sre/user-management/ssl-user-auth.md::0,docs/guides/sre/user-management/ssl-user-auth.md
What verification mode is required for secure authentication with SSL user certificates in ClickHouse?,docs/guides/sre/user-management/ssl-user-auth.md::0,docs/guides/sre/user-management/ssl-user-auth.md
What are the different ways to obtain the full New York taxi dataset for use with ClickHouse?,docs/getting-started/example-datasets/nyc-taxi.md::0,docs/getting-started/example-datasets/nyc-taxi.md
How can I access and query the full New York taxi dataset without having to download it?,docs/getting-started/example-datasets/nyc-taxi.md::0,docs/getting-started/example-datasets/nyc-taxi.md
What is the SQL query to create a table for the New York taxi rides data in ClickHouse?,docs/getting-started/example-datasets/nyc-taxi.md::0,docs/getting-started/example-datasets/nyc-taxi.md
How can I refill my table with historical data after it has been created?,docs/data-modeling/backfilling.md::33000,docs/data-modeling/backfilling.md
What SQL statement can I use to transfer data from a backup table to a new table?,docs/data-modeling/backfilling.md::33000,docs/data-modeling/backfilling.md
Is it necessary to stop all insert operations while backfilling data into a table?,docs/data-modeling/backfilling.md::33000,docs/data-modeling/backfilling.md
What datasets are available for practicing data analysis with ClickHouse?,docs/getting-started/index.md::1000,docs/getting-started/index.md
Are there any tutorials on analyzing COVID-19 data using ClickHouse?,docs/getting-started/index.md::1000,docs/getting-started/index.md
Can I find a dataset with a large number of records from environmental sensors for testing ClickHouse performance?,docs/getting-started/index.md::1000,docs/getting-started/index.md
How does ClickHouse handle duplicate inserts when retrying an operation?,docs/guides/developer/deduplicating-inserts-on-retries.md::3000,docs/guides/developer/deduplicating-inserts-on-retries.md
What setting can I use to control deduplication for intentionally inserting the same data multiple times?,docs/guides/developer/deduplicating-inserts-on-retries.md::3000,docs/guides/developer/deduplicating-inserts-on-retries.md
Is deduplication automatically applied to data inserted using INSERT ... SELECT queries?,docs/guides/developer/deduplicating-inserts-on-retries.md::3000,docs/guides/developer/deduplicating-inserts-on-retries.md
How do I get started with using the ClickHouse command line interface?,docs/deployment-modes.md::5000,docs/deployment-modes.md
What are the use cases for using clickhouse-local and how does it differ from ClickHouse Server?,docs/deployment-modes.md::5000,docs/deployment-modes.md
Are there any ClickHouse tools that allow me to perform ad-hoc data analysis directly from the command line without running a server?,docs/deployment-modes.md::5000,docs/deployment-modes.md
How does ClickHouse handle tail latency in parallel processing?,docs/deployment-guides/parallel-replicas.mdx::7000,docs/deployment-guides/parallel-replicas.mdx
What is the role of the coordinator in dynamic coordination and how does it assign tasks to replicas?,docs/deployment-guides/parallel-replicas.mdx::7000,docs/deployment-guides/parallel-replicas.mdx
How does ClickHouse ensure cache locality when executing the same query multiple times?,docs/deployment-guides/parallel-replicas.mdx::7000,docs/deployment-guides/parallel-replicas.mdx
How often does ClickHouse check if TLS certificates need to be renewed?,docs/guides/sre/tls/configuring-tls-acme-client.md::3000,docs/guides/sre/tls/configuring-tls-acme-client.md
What is the recommended approach for testing the certificate issuing process to avoid hitting request quotas?,docs/guides/sre/tls/configuring-tls-acme-client.md::3000,docs/guides/sre/tls/configuring-tls-acme-client.md
What are the potential issues with enabling the ACME client on a cluster with multiple replicas during initial deployment?,docs/guides/sre/tls/configuring-tls-acme-client.md::3000,docs/guides/sre/tls/configuring-tls-acme-client.md
How do I tell ClickHouse where its Keeper is running?,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md::9000,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md
Can I run ClickHouse Keeper on the same server as ClickHouse?,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md::9000,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md
What is the purpose of the macros section in ClickHouse configuration?,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md::9000,docs/deployment-guides/replication-sharding-examples/01_1_shard_2_replicas.md
How do I speed up the update process in ClickHouse?,docs/managing-data/updating-data/overview.mdx::17000,docs/managing-data/updating-data/overview.mdx
What are the limitations of using on-the-fly mutations to update rows in ClickHouse?,docs/managing-data/updating-data/overview.mdx::17000,docs/managing-data/updating-data/overview.mdx
When should I use on-the-fly mutations instead of regular mutations in ClickHouse?,docs/managing-data/updating-data/overview.mdx::17000,docs/managing-data/updating-data/overview.mdx
How does ClickHouse handle node failures in a cluster?,docs/guides/sre/keeper/index.md::41000,docs/guides/sre/keeper/index.md
What are the limitations of dynamically reconfiguring a ClickHouse cluster?,docs/guides/sre/keeper/index.md::41000,docs/guides/sre/keeper/index.md
How can I recover a ClickHouse cluster that has lost too many nodes at the same time?,docs/guides/sre/keeper/index.md::41000,docs/guides/sre/keeper/index.md
How do I create a table to store geospatial data for Moscow in ClickHouse?,docs/getting-started/example-datasets/cell-towers.md::5000,docs/getting-started/example-datasets/cell-towers.md
What SQL query can I use to create a temporary table for storing Moscow's polygon data?,docs/getting-started/example-datasets/cell-towers.md::5000,docs/getting-started/example-datasets/cell-towers.md
How can I represent the shape of Moscow as a polygon in a ClickHouse table using latitude and longitude coordinates?,docs/getting-started/example-datasets/cell-towers.md::5000,docs/getting-started/example-datasets/cell-towers.md
How do you create a table with a compound primary key in ClickHouse?,docs/guides/best-practices/sparse-primary-indexes.md::11000,docs/guides/best-practices/sparse-primary-indexes.md
What settings control the number of index entries in a primary index?,docs/guides/best-practices/sparse-primary-indexes.md::11000,docs/guides/best-practices/sparse-primary-indexes.md
What is the difference between index_granularity and index_granularity_bytes in ClickHouse?,docs/guides/best-practices/sparse-primary-indexes.md::11000,docs/guides/best-practices/sparse-primary-indexes.md
How can I control whether ClickHouse uses parallel replicas or not?,docs/deployment-guides/parallel-replicas.mdx::15000,docs/deployment-guides/parallel-replicas.mdx
What setting determines the minimum number of rows per replica when using parallel replicas?,docs/deployment-guides/parallel-replicas.mdx::15000,docs/deployment-guides/parallel-replicas.mdx
Can I use parallel replicas without having the analyzer enabled?,docs/deployment-guides/parallel-replicas.mdx::15000,docs/deployment-guides/parallel-replicas.mdx
What happens to memory usage and disk I/O when the PREWHERE optimization is applied?,docs/guides/best-practices/prewhere.md::3000,docs/guides/best-practices/prewhere.md
How does ClickHouse decide which filter conditions to move to PREWHERE automatically?,docs/guides/best-practices/prewhere.md::3000,docs/guides/best-practices/prewhere.md
Does using the PREWHERE clause change the number of rows that ClickHouse processes?,docs/guides/best-practices/prewhere.md::3000,docs/guides/best-practices/prewhere.md
How can I download the Hacker News dataset in CSV format?,docs/getting-started/example-datasets/hacker-news.md::0,docs/getting-started/example-datasets/hacker-news.md
What tool can I use to sample and explore the Hacker News dataset locally without deploying a ClickHouse server?,docs/getting-started/example-datasets/hacker-news.md::0,docs/getting-started/example-datasets/hacker-news.md
How can I preview the contents of the Hacker News dataset using ClickHouse before storing it?,docs/getting-started/example-datasets/hacker-news.md::0,docs/getting-started/example-datasets/hacker-news.md
How do I use SSL certificates for user authentication in ClickHouse?,docs/guides/sre/user-management/ssl-user-auth.md::4000,docs/guides/sre/user-management/ssl-user-auth.md
What is the format for using curl to test a SQL command with SSL certificates in ClickHouse?,docs/guides/sre/user-management/ssl-user-auth.md::4000,docs/guides/sre/user-management/ssl-user-auth.md
Do I need to provide a password when using SSL certificates for authentication in ClickHouse?,docs/guides/sre/user-management/ssl-user-auth.md::4000,docs/guides/sre/user-management/ssl-user-auth.md
How does the primary index store data in ClickHouse?,docs/guides/best-practices/sparse-primary-indexes.md::23000,docs/guides/best-practices/sparse-primary-indexes.md
What data is stored in the primary index of a ClickHouse table?,docs/guides/best-practices/sparse-primary-indexes.md::23000,docs/guides/best-practices/sparse-primary-indexes.md
How many entries are in a primary index based on the number of rows and granules in a table?,docs/guides/best-practices/sparse-primary-indexes.md::23000,docs/guides/best-practices/sparse-primary-indexes.md
How can I automatically get the latest version of ClickHouse?,docs/getting-started/install/_snippets/_linux_tar_install.md::1000,docs/getting-started/install/_snippets/_linux_tar_install.md
What bash command can I use to detect and set the system architecture for ClickHouse?,docs/getting-started/install/_snippets/_linux_tar_install.md::1000,docs/getting-started/install/_snippets/_linux_tar_install.md
How do I download the correct ClickHouse component tarballs for my system architecture?,docs/getting-started/install/_snippets/_linux_tar_install.md::1000,docs/getting-started/install/_snippets/_linux_tar_install.md
What are the main differences between using materialized views and projections in database management?,docs/data-modeling/projections/2_materialized-views-versus-projections.md::0,docs/data-modeling/projections/2_materialized-views-versus-projections.md
When should I choose materialized views over projections for data storage and location?,docs/data-modeling/projections/2_materialized-views-versus-projections.md::0,docs/data-modeling/projections/2_materialized-views-versus-projections.md
How do materialized views and projections compare in terms of key aspects such as data storage and location?,docs/data-modeling/projections/2_materialized-views-versus-projections.md::0,docs/data-modeling/projections/2_materialized-views-versus-projections.md
How can I set up ClickHouse on a Debian-based system using the official packages?,docs/getting-started/install/_snippets/_deb_install.md::0,docs/getting-started/install/_snippets/_deb_install.md
What are the steps to add the ClickHouse repository to my Ubuntu installation?,docs/getting-started/install/_snippets/_deb_install.md::0,docs/getting-started/install/_snippets/_deb_install.md
What command should I use to update the package lists after adding the ClickHouse repository?,docs/getting-started/install/_snippets/_deb_install.md::0,docs/getting-started/install/_snippets/_deb_install.md
How can I combine multiple tables in Incremental Materialized Views?,docs/materialized-view/incremental-materialized-view.md::33000,docs/materialized-view/incremental-materialized-view.md
What is an alternative to using UNION ALL in Incremental Materialized Views?,docs/materialized-view/incremental-materialized-view.md::33000,docs/materialized-view/incremental-materialized-view.md
Can I use UNION ALL queries with Incremental Materialized Views in ClickHouse?,docs/materialized-view/incremental-materialized-view.md::33000,docs/materialized-view/incremental-materialized-view.md
What makes ClickHouse's query processing so efficient?,docs/concepts/why-clickhouse-is-so-fast.mdx::10000,docs/concepts/why-clickhouse-is-so-fast.mdx
How do hash tables contribute to the performance of ClickHouse?,docs/concepts/why-clickhouse-is-so-fast.mdx::10000,docs/concepts/why-clickhouse-is-so-fast.mdx
What kind of design decisions are necessary when implementing hash tables in a database system like ClickHouse?,docs/concepts/why-clickhouse-is-so-fast.mdx::10000,docs/concepts/why-clickhouse-is-so-fast.mdx
How can column-oriented databases improve performance for analytical queries?,docs/intro.md::13000,docs/intro.md
What benefits do column-oriented databases offer in terms of input and output operations?,docs/intro.md::13000,docs/intro.md
How can dispatching operations for entire vectors instead of separate rows improve query execution speed in a database?,docs/intro.md::13000,docs/intro.md
What SQL commands are used to create the customer table in ClickHouse for the Star Schema Benchmark?,docs/getting-started/example-datasets/star-schema.md::1000,docs/getting-started/example-datasets/star-schema.md
How do I define the schema for the lineorder table in ClickHouse using SQL?,docs/getting-started/example-datasets/star-schema.md::1000,docs/getting-started/example-datasets/star-schema.md
What is the SQL query to create the supplier table with the required columns in ClickHouse?,docs/getting-started/example-datasets/star-schema.md::1000,docs/getting-started/example-datasets/star-schema.md
What type of data does the IsRobot column store in ClickHouse?,docs/guides/best-practices/sparse-primary-indexes.md::14000,docs/guides/best-practices/sparse-primary-indexes.md
How are URL categories represented in the ClickHouse table structure?,docs/guides/best-practices/sparse-primary-indexes.md::14000,docs/guides/best-practices/sparse-primary-indexes.md
What is the data type of the ClientEventTime field in ClickHouse?,docs/guides/best-practices/sparse-primary-indexes.md::14000,docs/guides/best-practices/sparse-primary-indexes.md
What is a good order for the columns in the ordering key when designing a ClickHouse table for posts data?,docs/data-modeling/schema-design.md::25000,docs/data-modeling/schema-design.md
How does using the `toDate` function on a `DateTime` column affect the size of the index in ClickHouse?,docs/data-modeling/schema-design.md::25000,docs/data-modeling/schema-design.md
What is the purpose of including `CommentCount` as the final component of the ordering key in the `posts_v3` table?,docs/data-modeling/schema-design.md::25000,docs/data-modeling/schema-design.md
How can I visualize the query execution plan in ClickHouse?,docs/guides/developer/understanding-query-execution-with-the-analyzer.md::19000,docs/guides/developer/understanding-query-execution-with-the-analyzer.md
What does the 'compact' parameter do in the EXPLAIN PIPELINE query?,docs/guides/developer/understanding-query-execution-with-the-analyzer.md::19000,docs/guides/developer/understanding-query-execution-with-the-analyzer.md
How can I increase the number of threads used by ClickHouse to read from a table?,docs/guides/developer/understanding-query-execution-with-the-analyzer.md::19000,docs/guides/developer/understanding-query-execution-with-the-analyzer.md
How do right-side tables in a JOIN within a materialized view get updated?,docs/materialized-view/incremental-materialized-view.md::19000,docs/materialized-view/incremental-materialized-view.md
What happens when I update a right-side table in a materialized view with a JOIN?,docs/materialized-view/incremental-materialized-view.md::19000,docs/materialized-view/incremental-materialized-view.md
Can I use a materialized view to retroactively update data when the right-side table in a JOIN changes?,docs/materialized-view/incremental-materialized-view.md::19000,docs/materialized-view/incremental-materialized-view.md
How do I create a table in ClickHouse with the MergeTree table engine and no primary key to test a full table scan?,docs/guides/best-practices/sparse-primary-indexes.md::2000,docs/guides/best-practices/sparse-primary-indexes.md
What SQL statement can I use to load a subset of the hits dataset from a remote URL into my ClickHouse table?,docs/guides/best-practices/sparse-primary-indexes.md::2000,docs/guides/best-practices/sparse-primary-indexes.md
What is the purpose of executing the provided SQL DDL statement when working with primary indexes in ClickHouse?,docs/guides/best-practices/sparse-primary-indexes.md::2000,docs/guides/best-practices/sparse-primary-indexes.md
What steps are involved when ClickHouse is executing a query?,docs/guides/best-practices/query-optimization.md::2000,docs/guides/best-practices/query-optimization.md
How can we track metrics that affect query performance in ClickHouse?,docs/guides/best-practices/query-optimization.md::2000,docs/guides/best-practices/query-optimization.md
Can I create a table in ClickHouse and insert data into it from an S3 bucket with an inferred schema?,docs/guides/best-practices/query-optimization.md::2000,docs/guides/best-practices/query-optimization.md
